Date,LHD,Rainfall,Tmean,Tmax,Tmin,Elevation,Floodwave,Salmonella,Population,Incidence
1997-01-01,Central Coast,131.9,20.25,22.94,17.94,44,3,1,273531,0.365589275
1997-02-01,Central Coast,162.7,22.07,24.65,20,44,3,4,273531,1.4623571
1997-03-01,Central Coast,37.3,21.09,23.51,19.02,44,0,13,273531,4.752660576
1997-04-01,Central Coast,32.1,18.98,22.28,16.06,44,1,5,273531,1.827946375
1997-05-01,Central Coast,106.7,16.26,18.31,14.49,44,4,10,273531,3.655892751
1997-06-01,Central Coast,23.1,13.47,16.07,11.11,44,0,1,273531,0.365589275
1997-07-01,Central Coast,70.9,12.47,14.87,10.28,44,5,4,273531,1.4623571
1997-08-01,Central Coast,20.3,13.09,16.79,9.83,44,0,1,273531,0.365589275
1997-09-01,Central Coast,71.7,15.07,18.03,12.65,44,0,5,273531,1.827946375
1997-10-01,Central Coast,47.1,17.75,21.49,14.41,44,1,5,273531,1.827946375
1997-11-01,Central Coast,28.7,20.85,24.32,17.99,44,0,4,273531,1.4623571
1997-12-01,Central Coast,47,22.6,26.11,19.71,44,0,9,273531,3.290303476
1998-01-01,Central Coast,93.3,22.99,26.15,20.55,44,0,6,277889,2.159135482
1998-02-01,Central Coast,71,23.62,27.04,20.86,44,0,9,277889,3.238703223
1998-03-01,Central Coast,27.6,21.85,24.95,19.53,44,0,2,277889,0.719711827
1998-04-01,Central Coast,91,19.17,21.82,16.88,44,2,8,277889,2.87884731
1998-05-01,Central Coast,169.6,16.08,18.61,13.81,44,1,4,277889,1.439423655
1998-06-01,Central Coast,106.6,13.86,16.13,11.87,44,3,5,277889,1.799279568
1998-07-01,Central Coast,81.2,12.75,15.08,10.52,44,2,2,277889,0.719711827
1998-08-01,Central Coast,192.2,14.19,16.59,11.9,44,9,2,277889,0.719711827
1998-09-01,Central Coast,53.9,16.78,20.2,13.79,44,0,3,277889,1.079567741
1998-10-01,Central Coast,63.4,17.63,21.33,14.35,44,0,5,277889,1.799279568
1998-11-01,Central Coast,110.1,17.52,20,15.11,44,2,3,277889,1.079567741
1998-12-01,Central Coast,75.8,20.89,23.48,18.45,44,0,6,277889,2.159135482
1999-01-01,Central Coast,66.3,22.24,24.87,20.07,44,0,5,283321,1.764782702
1999-02-01,Central Coast,67,21.77,24,19.88,44,1,4,283321,1.411826162
1999-03-01,Central Coast,72,21.59,24.32,19.2,44,0,7,283321,2.470695783
1999-04-01,Central Coast,138.7,17.19,19.46,15.13,44,4,4,283321,1.411826162
1999-05-01,Central Coast,19.1,16.35,19.14,13.67,44,1,5,283321,1.764782702
1999-06-01,Central Coast,61.6,13.7,15.99,11.87,44,0,1,283321,0.35295654
1999-07-01,Central Coast,108.8,13.28,15.74,11.05,44,5,5,283321,1.764782702
1999-08-01,Central Coast,52.6,13.66,16.64,10.96,44,2,2,283321,0.705913081
1999-09-01,Central Coast,44,15.53,18.79,12.76,44,0,2,283321,0.705913081
1999-10-01,Central Coast,167.2,17.85,21.12,14.96,44,5,1,283321,0.35295654
1999-11-01,Central Coast,52.1,17.13,19.88,14.48,44,0,3,283321,1.058869621
1999-12-01,Central Coast,50.2,19.78,22.52,17.41,44,0,3,283321,1.058869621
2000-01-01,Central Coast,85.2,20.05,22.85,17.73,44,2,7,288944,2.422614763
2000-02-01,Central Coast,17.8,22.23,25.4,19.65,44,0,6,288944,2.076526939
2000-03-01,Central Coast,196.7,20.84,23.05,19,44,7,6,288944,2.076526939
2000-04-01,Central Coast,110.7,18.6,20.76,16.66,44,5,5,288944,1.730439116
2000-05-01,Central Coast,59.2,15.25,17.82,12.96,44,2,5,288944,1.730439116
2000-06-01,Central Coast,17.1,12.51,15.45,10.06,44,0,3,288944,1.03826347
2000-07-01,Central Coast,23.2,12.67,15.65,10.15,44,0,2,288944,0.692175646
2000-08-01,Central Coast,17.8,13.12,16.64,10.19,44,0,6,288944,2.076526939
2000-09-01,Central Coast,22.5,16.46,20.88,12.83,44,0,0,288944,0
2000-10-01,Central Coast,66.3,17.36,20.71,14.5,44,0,4,288944,1.384351293
2000-11-01,Central Coast,149.4,18.82,21.13,16.86,44,3,7,288944,2.422614763
2000-12-01,Central Coast,49.2,21.94,24.96,19.19,44,0,6,288944,2.076526939
2001-01-01,Central Coast,60.6,22.83,26.15,20.22,44,2,6,294596,2.036687531
2001-02-01,Central Coast,74.2,22.45,25.19,20.34,44,1,6,294596,2.036687531
2001-03-01,Central Coast,137.4,20.61,22.78,18.69,44,4,5,294596,1.697239609
2001-04-01,Central Coast,89.3,18.77,21.76,16.12,44,2,0,294596,0
2001-05-01,Central Coast,112,14.87,17.19,12.8,44,6,2,294596,0.678895844
2001-06-01,Central Coast,4.8,14.27,17.31,11.38,44,0,3,294596,1.018343766
2001-07-01,Central Coast,79.9,13.08,15.64,10.88,44,3,1,294596,0.339447922
2001-08-01,Central Coast,30.5,13.21,16.89,10.24,44,0,6,294596,2.036687531
2001-09-01,Central Coast,25.3,16.26,19.76,13.24,44,0,3,294596,1.018343766
2001-10-01,Central Coast,44.9,17.55,21.52,14.18,44,0,2,294596,0.678895844
2001-11-01,Central Coast,71.3,18.33,21.5,15.45,44,1,1,294596,0.339447922
